dataset_track,model,has_fixation,has_mesh,has_gt,status,reason
sal3d,armadillo,True,True,N/A,ok,
sal3d,building,True,True,N/A,ok,
sal3d,bunny,True,True,N/A,ok,
sal3d,camel,True,True,N/A,ok,
sal3d,car,True,True,N/A,ok,
sal3d,cart,True,True,N/A,ok,
sal3d,carter,True,True,N/A,ok,
sal3d,casting,True,True,N/A,ok,
sal3d,cat,True,True,N/A,ok,
sal3d,centauro,True,True,N/A,ok,
sal3d,chair,True,True,N/A,ok,
sal3d,chicken,True,True,N/A,ok,
sal3d,cow,True,True,N/A,ok,
sal3d,dinosaur,True,True,N/A,ok,
sal3d,dog,True,True,N/A,ok,
sal3d,dragon,True,True,N/A,ok,
sal3d,facestatue,True,True,N/A,ok,
sal3d,fandisk,True,True,N/A,ok,
sal3d,flowerpot,True,True,N/A,ok,
sal3d,footballplayer,True,True,N/A,ok,
sal3d,gamecontroller,True,True,N/A,ok,
sal3d,gorgoile,False,True,N/A,missing_fixation,no SAL3D_{m}/fixations.json
sal3d,gorilla,True,True,N/A,ok,
sal3d,hand,True,True,N/A,ok,
sal3d,harley,True,True,N/A,ok,
sal3d,hay,True,True,N/A,ok,
sal3d,horse,True,True,N/A,ok,
sal3d,house,True,True,N/A,ok,
sal3d,igea,True,True,N/A,ok,
sal3d,james,True,True,N/A,ok,
sal3d,jessi,True,True,N/A,ok,
sal3d,lion,True,True,N/A,ok,
sal3d,meca,True,True,N/A,ok,
sal3d,michael3,True,True,N/A,ok,
sal3d,michael8,True,True,N/A,ok,
sal3d,octopus,True,True,N/A,ok,
sal3d,prot,True,True,N/A,ok,
sal3d,ring,True,True,N/A,ok,
sal3d,ringdragon,True,True,N/A,ok,
sal3d,rockerarm,True,True,N/A,ok,
sal3d,skull,True,True,N/A,ok,
sal3d,sofa,True,True,N/A,ok,
sal3d,spaceshuttle,True,True,N/A,ok,
sal3d,spanner,True,True,N/A,ok,
sal3d,starfish,True,True,N/A,ok,
sal3d,teapot,True,True,N/A,ok,
sal3d,torso,True,True,N/A,ok,
sal3d,triceratop,True,True,N/A,ok,
sal3d,turbine,True,True,N/A,ok,
sal3d,vase,True,True,N/A,ok,
sal3d,victoria,True,True,N/A,ok,
sal3d,watchtower,True,True,N/A,ok,
sal3d,wolf,True,True,N/A,ok,
